date,expenses,expenses_adj,operating_income,operating_income_adj,cost_to_income_ratio,cti_adj,operating_margin,op_margin_adj
2015-01-01,3682573.85,3314316.4650000003,4370861.07,6121629.955,0.8425282320858576,0.5414107826450612,0.46321385004218796,0.6487563284616447
2015-01-02,1186425.69,1067783.121,9556428.76,11402837.159,0.12414948301252235,0.09364188106090975,0.7663154314245546,0.9143761018277112
2015-01-03,3093297.62,2783967.858,7587945.48,9098124.232,0.40765944196003895,0.3059936078041454,0.6386034902377197,0.7657005317823623
2015-01-04,3230217.71,2907195.9390000002,6387926.36,1093502.8209999995,0.505675477135588,2.658608540526117,1.5967026620119733,0.2733279575890887
2015-01-05,2408588.02,2167729.218,2404167.76,1772513.892,1.0018385821794733,1.222968817217033,0.6101572143856879,0.44984886528993895
2015-01-06,3813999.06,3432599.154,2403950.68,2053667.6260000002,1.5865546209958017,1.6714482472929628,0.4381760450956415,0.3743287937594606
2015-01-07,4704651.57,4234186.413000001,1522752.51,2459785.027,3.089570720852071,1.7213644145822347,0.2274811781987525,0.3674627310629816
2015-01-08,4665058.31,4198552.478999999,8795585.31,3111370.0810000002,0.5303863410540894,1.349422399038618,1.2032391913601888,0.4256365310934293
2015-01-09,2528777.17,2275899.453,6410035.11,8560164.367,0.39450285787904205,0.2658709991333511,0.5915464523353093,0.7899699105869608
2015-01-10,1009571.21,908614.089,7372653.2,1828231.531,0.1369345855030859,0.49699071129301076,2.693850594320333,0.6680068169135531
2015-01-11,4931785.4,4438606.86,1185260.45,-1987861.7100000004,3.2326774021629747,-2.232854950458299,0.48363268208446725,-0.8111254285252796
2015-01-12,4275041.39,3847537.2509999997,9729188.67,3247300.0690000006,0.4394036887353321,1.1848419207482852,1.3713053916788045,0.45769901726231554
2015-01-13,1060982.07,954883.8630000001,8491983.77,10108244.137,0.12493924844135684,0.09446584887129543,0.7675933759421386,0.9136877144511029
2015-01-14,4643788.47,4179409.6229999997,2911052.0,335249.8370000003,1.5952269042256888,12.46655228947955,0.6447999070122555,0.0742580564426448
2015-01-15,4414533.63,3973080.267,2636424.7,6366477.993,1.6744394899653305,0.6240625148423411,0.2549842685445636,0.6157398442861524
2015-01-16,2834771.26,2551294.134,2650640.59,2826471.656,1.069466479421867,0.9026427449163141,0.49288881173086563,0.5255847439945873
2015-01-17,3160739.46,2844665.514,3738180.19,10674453.896,0.8455289203167063,0.2664928381081838,0.27651062740335686,0.7895820409799901
2015-01-18,2295512.17,2065960.953,5722807.88,11578008.327,0.4011164131548655,0.17843837166554494,0.41943863714122936,0.8485806504982104
2015-01-19,746427.37,671784.633,4887505.17,5192949.027,0.15272155098303455,0.12936476547471415,0.8333720597296485,0.8854535138429457
2015-01-20,2008387.59,1807548.831,3621062.26,3182369.9689999996,0.5546404468615793,0.5679882755957468,0.7256755881478472,0.6377598707618247
2015-01-21,4112840.52,3701556.468,6506676.05,3645395.172,0.6320954798418157,1.0154060927142743,0.8856293560685531,0.49617791849246473
2015-01-22,520844.1,468759.69,2255444.75,4658150.92,0.2309274479013507,0.10063213881442896,0.4399227764183702,0.9085687803712262
2015-01-23,2000746.27,1800671.6430000002,3629301.84,8940318.317000002,0.5512757985431159,0.20141023833301616,0.33789267595591344,0.8323551507164803
2015-01-24,2291759.12,2062583.208,4297256.59,10676257.692,0.5333074886272966,0.19319346418038857,0.3373349760573585,0.8380870579834307
2015-01-25,2918280.21,2626452.1890000002,5104629.86,8123745.510999999,0.5716928141779117,0.323305571973376,0.4748405566532047,0.7556833592930109
2015-01-26,4639350.27,4175415.243,8066583.65,8541140.567000002,0.5751319853975604,0.48885921151237727,0.6343371405374267,0.6716551788561687
2015-01-27,2058556.97,1852701.273,2797064.04,5308196.837,0.7359706251130381,0.3490264829830763,0.3906024072726263,0.741275291934017
2015-01-28,2061289.41,1855160.469,5628109.95,2176960.151,0.3662489589422466,0.852179341981901,1.395818845816175,0.5399045207630718
2015-01-29,3818755.62,3436880.058,6331731.12,8156482.262,0.603113990096282,0.42136793137060835,0.546151405022249,0.7035476022283068
2015-01-30,2534980.73,2281482.657,1418053.71,4404685.913000001,1.7876478952267612,0.5179671608970862,0.2120876396031397,0.6587757797138519
2015-01-31,1510721.7,1359649.53,6467903.67,9366871.200000001,0.23357207792180987,0.14515514316029027,0.602982442565046,0.8732441241457425
2015-02-01,2535977.82,2282380.0379999997,2534717.11,3235991.2120000003,1.000497377003148,0.7053109506404925,0.45932341177661795,0.5864033181892212
2015-02-02,1133856.59,1020470.9310000001,1585464.34,2035514.319,0.7151574219575321,0.5013332116972449,0.5188062802331916,0.6660746543197484
2015-02-03,1293741.44,1164367.296,9539969.84,13739196.044,0.13561273900211826,0.08474784785595131,0.6401133488925743,0.9218732279363735
2015-02-04,2742654.98,2468389.482,9690688.3,1562230.1180000002,0.2830196261704135,1.5800421804439948,2.4042676465921025,0.3875905625030951
